Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9733776943961095,0.14534883720930233,0.011228385358185492,0.020846362309776944,0.8311515748400357
Random Forest,0.9747550033724233,0.0,0.0,0.0,0.8541669854434376
XGBoost,0.9747606713105973,0.0,0.0,0.0,0.8569488793208544
